대지위치,지역,빈집 동수,지상 층수,연면적(㎡),건물구조,지붕구조,발생 연도,빈집 용도
금지면 서매리 949-1,농촌,1,1,30.75,목조,슬레이트,2000,주택
금지면 서매리 989-1,농촌,1,1,40,목조,기와,1995,주택
금지면 서매리 983-3,농촌,1,1,32.82,목조,슬레이트,2000,주택
금지면 택내리 340-2,농촌,1,1,71,목조,기와,1994,주택
금지면 방촌리 751,농촌,1,1,49.06,조적조,기와,2001,주택
금지면 방촌리 518,농촌,1,1,23.41,조적조,기와,1995,주택
금지면 신월리 385-8,농촌,1,1,29.25,목조,기와,1990,주택
금지면 신월리 401-8,농촌,1,1,40,목조,기와,1993,주택
금지면 신월리 401-1,농촌,1,1,40,목조,기와,1997,주택
금지면 창산리 39-1,농촌,1,1,28.16,목조,기와,2005,주택
금지면 입암리 995-1,농촌,1,1,69.4,목조,슬레이트,2003,주택
금지면 입암리 833,농촌,1,1,30.8,목조,기와,1998,주택
금지면 신월리 107,농촌,1,1,30,조적조,슬레이트,2005,주택
금지면 옹정리 107,농촌,1,1,34.45,목조,함석,2000,주택
금지면 상귀리 134,농촌,1,1,36.03,목조,기와,1993,주택
금지면 상귀리 116,농촌,1,1,51.83,목조,슬레이트,2003,주택
금지면 상귀리 19,농촌,1,1,44.06,목조,기와,2003,주택
금지면 상신리 206,농촌,1,1,30,목조,기와,2002,주택
금지면 금지 장승길 19,농촌,1,1,30,목조,슬레이트,2000,주택
보절면 괴양리 475,농촌,1,1,20.77,목조,슬레이트,2006,공장
보절면 괴양리 415,농촌,3,1,59.44,목조,"함석,기와",1995,주택
보절면 괴양리 74,농촌,3,1,32.39,목조,기와,2000,주택
보절면 진기리 991-1,농촌,4,1,47.27,목조,기와,1994,주택
보절면 진기리 868-8,농촌,1,1,23.12,목조,기와,1995,주택
절면 진기리 1009-,농촌,3,1,82.31,목조,기와,2000,주택
보절면 진기리 493-2,농촌,2,1,32.33,목조,기와,1999,주택
보절면 진기리 500-1,농촌,3,1,33.59,목조,기와,2005,주택
보절면 금다리 242-1,농촌,3,1,35.24,목조,"철판,기와",2005,주택
보절면 금다리 270,농촌,2,1,55.07,목조,기와,2010,주택
보절면 금다리 314,농촌,1,1,78.76,조적조,평스라브,2005,주택
보절면 금다리 261-1,농촌,3,1,48.4,목조,기와,2005,주택
보절면 신파리 304-1,농촌,1,1,33.19,목조,토기와,2007,주택
보절면 신파리 725,농촌,1,1,50.4,목조,기와,2000,주택
보절면 신파리 860-4,농촌,5,1,173.65,목조,슬레이트,1997,주택
보절면 신파리 600-1,농촌,2,1,50.84,목조,슬레이트,1994,주택
보절면 신파리 599-1,농촌,2,1,48.13,목조,기와,2000,주택
보절면 신파리 683,농촌,2,1,38.05,목조,기와,2005,주택
보절면 신파리 886,농촌,2,1,74.1,목조,함석,2000,주택
보절면 신파리 516,농촌,3,1,63.14,목조,기와,2005,주택
보절면 신파리 704,농촌,3,1,79.74,목조,기와,2001,주택
보절면 황벌리 339,농촌,2,1,31.57,"목조,블록",슬레이트,1999,주택
보절면 황벌리 397-1,농촌,3,1,49.45,목조,기와,2005,주택
보절면 황벌리 342-1,농촌,2,1,29.39,"목조,블록",슬레이트,2000,주택
보절면 사촌리 343-1,농촌,2,1,54.9,목조,기와,2000,주택
보절면 사촌리 485-1,농촌,2,1,152,목조,기와,2001,주택
보절면 사촌리 525-1,농촌,1,1,49.05,목조,기와,2005,주택
보절면 사촌리 513,농촌,2,1,38.02,목조,기와,1999,주택
보절면 사촌리 520-3,농촌,2,1,10,목조,기와,2000,주택
절면 사촌리 671-1,농촌,2,1,33.2,목조,기와,2000,주택
보절면 성시리 764,농촌,1,1,28.56,목조,강판,2005,주택
보절면 성시리 789-1,농촌,3,1,46.22,목조,기와,1989,주택
보절면 성시리 819,농촌,3,1,78.97,목조,기와,2005,주택
보절면 성시리 871-1,농촌,2,1,32,목조,기와,1980,주택
보절면 성시리 881,농촌,2,1,29.37,목조,기와,2005,주택
보절면 성시리 885-1,농촌,2,1,64.5,목조,기와,2000,주택
향단로 93-1(동충동),도심,1,1,44,"슬레이트,슬라브",기와,1955,주택
비석길 128-11(동충동),도심,1,1,23,"조적조,스라브",스라브,1973,주택
비석길 128-18(동충동),도심,3,1,79,"목조,기와",기와,1942,주택
비석길 128-20(동충동),도심,1,1,21,"시멘트벽돌, 스라브",스라브,1976,주택
옥샘길 42-17(동충동),도심,1,1,44,"목조,시멘트",스라브,2000,주택
봉당길 13-5(동충동),도심,2,1,190,슬레이트,슬레이트,2000,"공장,주택"
봉달길 27-3(동충동),도심,1,1,56,슬레이트,슬레이트,1965,주택
봉당길 27-5(동충동),도심,1,1,56,슬레이트,슬레이트,1967,주택
봉당길 48-17(동충동),도심,1,1,79,"기와,슬레이트",슬레이트,1983,주택
도랑길 15(동충동),도심,2,1,121,"목조,기와",기와,1941,"숙박,주택"
도랑길 30(동충동),도심,2,1,30,"목조,시멘트",스라브,1957,주택
도랑길 47(동충동),도심,1,1,26,"목조,시멘트",스라브,1952,주택
충열길 20-5(동충동),도심,1,1,41,"조적조,기와",기와,1971,주택
충열길 29-12(동충동),도심,2,1,54,"목조,기와",기와,1940,주택
정문로 4(죽항동),도심,2,1,46,"목조,세멘블럭",세멘트기와,2000,"주택,점포"
